SSID,FirstName,LastName,MiddleName,Grade,DOB,Gender,Ethnicity,School,Address,City,State,ZipCode,Phone,ParentName,ParentPhone,ParentEmail,ELL,504,IEP,CaseManager,Disability,ServiceMinutes,Goals,Notes,Plan,ReviewDate,ReevalDate,MeetingDate,SpeechProvider,MHProvider,OTProvider,ProgramAccommodations,IEP_Services
123456852,Student63,Seis63,L,10,2008-04-08,F,Asian,Central High School,163 Main St,Anytown,CA,90210,555-0063,Parent63,555-1063,parent63@email.com,No,No,Yes,Case Manager 4,ED,249,Goal for student 63: Improve academic performance and social skills,Notes for student 63: Requires additional support in math and reading,504,2024-04-08,2027-04-08,2024-04-08,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456853,Student64,Seis64,M,11,2008-05-09,M,Other,Central High School,164 Main St,Anytown,CA,90210,555-0064,Parent64,555-1064,parent64@email.com,No,Yes,No,Case Manager 5,SLD,252,Goal for student 64: Improve academic performance and social skills,Notes for student 64: Requires additional support in math and reading,IEP,2024-05-09,2027-05-09,2024-05-09,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language
123456854,Student65,Seis65,N,12,2008-06-10,F,Hispanic,Central High School,165 Main St,Anytown,CA,90210,555-0065,Parent65,555-1065,parent65@email.com,Yes,No,No,Case Manager 1,OHI,255,Goal for student 65: Improve academic performance and social skills,Notes for student 65: Requires additional support in math and reading,504,2024-06-10,2027-06-10,2024-06-10,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy
123456855,Student66,Seis66,O,7,2008-07-11,M,White,Central High School,166 Main St,Anytown,CA,90210,555-0066,Parent66,555-1066,parent66@email.com,No,No,Yes,Case Manager 2,ASD,258,Goal for student 66: Improve academic performance and social skills,Notes for student 66: Requires additional support in math and reading,IEP,2024-07-11,2027-07-11,2024-07-11,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy
123456856,Student67,Seis67,P,8,2008-08-12,F,Black,Central High School,167 Main St,Anytown,CA,90210,555-0067,Parent67,555-1067,parent67@email.com,No,No,No,Case Manager 3,ED,261,Goal for student 67: Improve academic performance and social skills,Notes for student 67: Requires additional support in math and reading,504,2024-08-12,2027-08-12,2024-08-12,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456857,Student68,Seis68,Q,9,2008-09-13,M,Asian,Central High School,168 Main St,Anytown,CA,90210,555-0068,Parent68,555-1068,parent68@email.com,No,Yes,No,Case Manager 4,SLD,264,Goal for student 68: Improve academic performance and social skills,Notes for student 68: Requires additional support in math and reading,IEP,2024-09-13,2027-09-13,2024-09-13,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language
123456858,Student69,Seis69,R,10,2008-10-14,F,Other,Central High School,169 Main St,Anytown,CA,90210,555-0069,Parent69,555-1069,parent69@email.com,No,No,Yes,Case Manager 5,OHI,267,Goal for student 69: Improve academic performance and social skills,Notes for student 69: Requires additional support in math and reading,504,2024-10-14,2027-10-14,2024-10-14,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy
123456859,Student70,Seis70,S,11,2008-11-15,M,Hispanic,Central High School,170 Main St,Anytown,CA,90210,555-0070,Parent70,555-1070,parent70@email.com,Yes,No,No,Case Manager 1,ASD,270,Goal for student 70: Improve academic performance and social skills,Notes for student 70: Requires additional support in math and reading,IEP,2024-11-15,2027-11-15,2024-11-15,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy
123456860,Student71,Seis71,T,12,2008-12-16,F,White,Central High School,171 Main St,Anytown,CA,90210,555-0071,Parent71,555-1071,parent71@email.com,No,No,No,Case Manager 2,ED,273,Goal for student 71: Improve academic performance and social skills,Notes for student 71: Requires additional support in math and reading,504,2024-12-16,2027-12-16,2024-12-16,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456861,Student72,Seis72,U,7,2008-01-17,M,Black,Central High School,172 Main St,Anytown,CA,90210,555-0072,Parent72,555-1072,parent72@email.com,No,Yes,Yes,Case Manager 3,SLD,276,Goal for student 72: Improve academic performance and social skills,Notes for student 72: Requires additional support in math and reading,IEP,2024-01-17,2027-01-17,2024-01-17,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language
123456862,Student73,Seis73,V,8,2008-02-18,F,Asian,Central High School,173 Main St,Anytown,CA,90210,555-0073,Parent73,555-1073,parent73@email.com,No,No,No,Case Manager 4,OHI,279,Goal for student 73: Improve academic performance and social skills,Notes for student 73: Requires additional support in math and reading,504,2024-02-18,2027-02-18,2024-02-18,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy
123456863,Student74,Seis74,W,9,2008-03-19,M,Other,Central High School,174 Main St,Anytown,CA,90210,555-0074,Parent74,555-1074,parent74@email.com,No,No,No,Case Manager 5,ASD,282,Goal for student 74: Improve academic performance and social skills,Notes for student 74: Requires additional support in math and reading,IEP,2024-03-19,2027-03-19,2024-03-19,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy
123456864,Student75,Seis75,X,10,2008-04-20,F,Hispanic,Central High School,175 Main St,Anytown,CA,90210,555-0075,Parent75,555-1075,parent75@email.com,Yes,No,Yes,Case Manager 1,ED,285,Goal for student 75: Improve academic performance and social skills,Notes for student 75: Requires additional support in math and reading,504,2024-04-20,2027-04-20,2024-04-20,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456865,Student76,Seis76,Y,11,2008-05-21,M,White,Central High School,176 Main St,Anytown,CA,90210,555-0076,Parent76,555-1076,parent76@email.com,No,Yes,No,Case Manager 2,SLD,288,Goal for student 76: Improve academic performance and social skills,Notes for student 76: Requires additional support in math and reading,IEP,2024-05-21,2027-05-21,2024-05-21,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language
123456866,Student77,Seis77,Z,12,2008-06-22,F,Black,Central High School,177 Main St,Anytown,CA,90210,555-0077,Parent77,555-1077,parent77@email.com,No,No,No,Case Manager 3,OHI,291,Goal for student 77: Improve academic performance and social skills,Notes for student 77: Requires additional support in math and reading,504,2024-06-22,2027-06-22,2024-06-22,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy
123456867,Student78,Seis78,A,7,2008-07-23,M,Asian,Central High School,178 Main St,Anytown,CA,90210,555-0078,Parent78,555-1078,parent78@email.com,No,No,Yes,Case Manager 4,ASD,294,Goal for student 78: Improve academic performance and social skills,Notes for student 78: Requires additional support in math and reading,IEP,2024-07-23,2027-07-23,2024-07-23,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy
123456868,Student79,Seis79,B,8,2008-08-24,F,Other,Central High School,179 Main St,Anytown,CA,90210,555-0079,Parent79,555-1079,parent79@email.com,No,No,No,Case Manager 5,ED,297,Goal for student 79: Improve academic performance and social skills,Notes for student 79: Requires additional support in math and reading,504,2024-08-24,2027-08-24,2024-08-24,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456869,Student80,Seis80,C,9,2008-09-25,M,Hispanic,Central High School,180 Main St,Anytown,CA,90210,555-0080,Parent80,555-1080,parent80@email.com,Yes,Yes,No,Case Manager 1,SLD,300,Goal for student 80: Improve academic performance and social skills,Notes for student 80: Requires additional support in math and reading,IEP,2024-09-25,2027-09-25,2024-09-25,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language
123456870,Student81,Seis81,D,10,2008-10-26,F,White,Central High School,181 Main St,Anytown,CA,90210,555-0081,Parent81,555-1081,parent81@email.com,No,No,Yes,Case Manager 2,OHI,303,Goal for student 81: Improve academic performance and social skills,Notes for student 81: Requires additional support in math and reading,504,2024-10-26,2027-10-26,2024-10-26,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy
123456871,Student82,Seis82,E,11,2008-11-27,M,Black,Central High School,182 Main St,Anytown,CA,90210,555-0082,Parent82,555-1082,parent82@email.com,No,No,No,Case Manager 3,ASD,306,Goal for student 82: Improve academic performance and social skills,Notes for student 82: Requires additional support in math and reading,IEP,2024-11-27,2027-11-27,2024-11-27,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy
123456872,Student83,Seis83,F,12,2008-12-28,F,Asian,Central High School,183 Main St,Anytown,CA,90210,555-0083,Parent83,555-1083,parent83@email.com,No,No,No,Case Manager 4,ED,309,Goal for student 83: Improve academic performance and social skills,Notes for student 83: Requires additional support in math and reading,504,2024-12-28,2027-12-28,2024-12-28,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456873,Student84,Seis84,G,7,2008-01-01,M,Other,Central High School,184 Main St,Anytown,CA,90210,555-0084,Parent84,555-1084,parent84@email.com,No,Yes,Yes,Case Manager 5,SLD,312,Goal for student 84: Improve academic performance and social skills,Notes for student 84: Requires additional support in math and reading,IEP,2024-01-01,2027-01-01,2024-01-01,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language
123456874,Student85,Seis85,H,8,2008-02-02,F,Hispanic,Central High School,185 Main St,Anytown,CA,90210,555-0085,Parent85,555-1085,parent85@email.com,Yes,No,No,Case Manager 1,OHI,315,Goal for student 85: Improve academic performance and social skills,Notes for student 85: Requires additional support in math and reading,504,2024-02-02,2027-02-02,2024-02-02,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy
123456875,Student86,Seis86,I,9,2008-03-03,M,White,Central High School,186 Main St,Anytown,CA,90210,555-0086,Parent86,555-1086,parent86@email.com,No,No,No,Case Manager 2,ASD,318,Goal for student 86: Improve academic performance and social skills,Notes for student 86: Requires additional support in math and reading,IEP,2024-03-03,2027-03-03,2024-03-03,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy
123456876,Student87,Seis87,J,10,2008-04-04,F,Black,Central High School,187 Main St,Anytown,CA,90210,555-0087,Parent87,555-1087,parent87@email.com,No,No,Yes,Case Manager 3,ED,321,Goal for student 87: Improve academic performance and social skills,Notes for student 87: Requires additional support in math and reading,504,2024-04-04,2027-04-04,2024-04-04,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456877,Student88,Seis88,K,11,2008-05-05,M,Asian,Central High School,188 Main St,Anytown,CA,90210,555-0088,Parent88,555-1088,parent88@email.com,No,Yes,No,Case Manager 4,SLD,324,Goal for student 88: Improve academic performance and social skills,Notes for student 88: Requires additional support in math and reading,IEP,2024-05-05,2027-05-05,2024-05-05,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language
123456878,Student89,Seis89,L,12,2008-06-06,F,Other,Central High School,189 Main St,Anytown,CA,90210,555-0089,Parent89,555-1089,parent89@email.com,No,No,No,Case Manager 5,OHI,327,Goal for student 89: Improve academic performance and social skills,Notes for student 89: Requires additional support in math and reading,504,2024-06-06,2027-06-06,2024-06-06,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy
123456879,Student90,Seis90,M,7,2008-07-07,M,Hispanic,Central High School,190 Main St,Anytown,CA,90210,555-0090,Parent90,555-1090,parent90@email.com,Yes,No,Yes,Case Manager 1,ASD,330,Goal for student 90: Improve academic performance and social skills,Notes for student 90: Requires additional support in math and reading,IEP,2024-07-07,2027-07-07,2024-07-07,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy
123456880,Student91,Seis91,N,8,2008-08-08,F,White,Central High School,191 Main St,Anytown,CA,90210,555-0091,Parent91,555-1091,parent91@email.com,No,No,No,Case Manager 2,ED,333,Goal for student 91: Improve academic performance and social skills,Notes for student 91: Requires additional support in math and reading,504,2024-08-08,2027-08-08,2024-08-08,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456881,Student92,Seis92,O,9,2008-09-09,M,Black,Central High School,192 Main St,Anytown,CA,90210,555-0092,Parent92,555-1092,parent92@email.com,No,Yes,No,Case Manager 3,SLD,336,Goal for student 92: Improve academic performance and social skills,Notes for student 92: Requires additional support in math and reading,IEP,2024-09-09,2027-09-09,2024-09-09,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language
123456882,Student93,Seis93,P,10,2008-10-10,F,Asian,Central High School,193 Main St,Anytown,CA,90210,555-0093,Parent93,555-1093,parent93@email.com,No,No,Yes,Case Manager 4,OHI,339,Goal for student 93: Improve academic performance and social skills,Notes for student 93: Requires additional support in math and reading,504,2024-10-10,2027-10-10,2024-10-10,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy
123456883,Student94,Seis94,Q,11,2008-11-11,M,Other,Central High School,194 Main St,Anytown,CA,90210,555-0094,Parent94,555-1094,parent94@email.com,No,No,No,Case Manager 5,ASD,342,Goal for student 94: Improve academic performance and social skills,Notes for student 94: Requires additional support in math and reading,IEP,2024-11-11,2027-11-11,2024-11-11,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy
123456884,Student95,Seis95,R,12,2008-12-12,F,Hispanic,Central High School,195 Main St,Anytown,CA,90210,555-0095,Parent95,555-1095,parent95@email.com,Yes,No,No,Case Manager 1,ED,345,Goal for student 95: Improve academic performance and social skills,Notes for student 95: Requires additional support in math and reading,504,2024-12-12,2027-12-12,2024-12-12,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456885,Student96,Seis96,S,7,2008-01-13,M,White,Central High School,196 Main St,Anytown,CA,90210,555-0096,Parent96,555-1096,parent96@email.com,No,Yes,Yes,Case Manager 2,SLD,348,Goal for student 96: Improve academic performance and social skills,Notes for student 96: Requires additional support in math and reading,IEP,2024-01-13,2027-01-13,2024-01-13,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language
123456886,Student97,Seis97,T,8,2008-02-14,F,Black,Central High School,197 Main St,Anytown,CA,90210,555-0097,Parent97,555-1097,parent97@email.com,No,No,No,Case Manager 3,OHI,351,Goal for student 97: Improve academic performance and social skills,Notes for student 97: Requires additional support in math and reading,504,2024-02-14,2027-02-14,2024-02-14,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy
123456887,Student98,Seis98,U,9,2008-03-15,M,Asian,Central High School,198 Main St,Anytown,CA,90210,555-0098,Parent98,555-1098,parent98@email.com,No,No,No,Case Manager 4,ASD,354,Goal for student 98: Improve academic performance and social skills,Notes for student 98: Requires additional support in math and reading,IEP,2024-03-15,2027-03-15,2024-03-15,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy
123456888,Student99,Seis99,V,10,2008-04-16,F,Other,Central High School,199 Main St,Anytown,CA,90210,555-0099,Parent99,555-1099,parent99@email.com,No,No,Yes,Case Manager 5,ED,357,Goal for student 99: Improve academic performance and social skills,Notes for student 99: Requires additional support in math and reading,504,2024-04-16,2027-04-16,2024-04-16,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456889,Student100,Seis100,W,11,2008-05-17,M,Hispanic,Central High School,200 Main St,Anytown,CA,90210,555-0100,Parent100,555-1100,parent100@email.com,Yes,Yes,No,Case Manager 1,SLD,60,Goal for student 100: Improve academic performance and social skills,Notes for student 100: Requires additional support in math and reading,IEP,2024-05-17,2027-05-17,2024-05-17,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language
