SSID,givenName,familyName,middleName,email,phone,dateOfBirth,sex,grade,school,schoolCode,schoolName,Address,City,State,ZipCode,ParentName,ParentPhone,ParentEmail,CaseManager,ServiceMinutes,Goals,Notes,Plan,SpeechProvider,MHProvider,OTProvider,ReviewDate,ReevalDate,MeetingDate,MedicalNotes,Vision,Hearing,CAASPP,ELPAC,Disabilities,Accommodations,IEPGoals,IEPServices
"123456836","Lily","Campbell","U","student47@school.edu","555-0047","2008-11-19","M","10","Central High School","CHS","Central High School","146 Main St","Anytown","CA","90210","Parent47","555-0047","parent47@email.com","Ellie Cook","262","Goal for student 47: Improve academic performance and social skills","Notes for student 47: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-11-19","2027-11-19","2024-11-19","None","20/20","Normal","Advanced","Beginning","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456837","Jayden","Mitchell","V","student48@school.edu","555-0048","2008-12-20","F","11","Central High School","CHS","Central High School","147 Main St","Anytown","CA","90210","Parent48","555-0048","parent48@email.com","Isaac Murphy","324","Goal for student 48: Improve academic performance and social skills","Notes for student 48: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-12-20","2027-12-20","2024-12-20","None","20/20","Normal","Basic","Early Advanced","SLD","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456838","Hannah","Carter","W","student49@school.edu","555-0049","2008-01-21","M","8","Central High School","CHS","Central High School","148 Main St","Anytown","CA","90210","Parent49","555-0049","parent49@email.com","Lily Stewart","74","Goal for student 49: Improve academic performance and social skills","Notes for student 49: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-01-21","2027-01-21","2024-01-21","Requires medication monitoring","20/20","Normal","Proficient","Advanced","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456839","Dylan","Roberts","X","student50@school.edu","555-0050","2008-02-22","F","9","Central High School","CHS","Central High School","149 Main St","Anytown","CA","90210","Parent50","555-0050","parent50@email.com","Isaac Murphy","160","Goal for student 50: Improve academic performance and social skills","Notes for student 50: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-02-22","2027-02-22","2024-02-22","None","20/20","Normal","Below Basic","Early Intermediate","SLD;OHI","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456840","Layla","Gomez","Y","student51@school.edu","555-0051","2008-03-23","M","10","Central High School","CHS","Central High School","150 Main St","Anytown","CA","90210","Parent51","555-0051","parent51@email.com","Ellie Cook","198","Goal for student 51: Improve academic performance and social skills","Notes for student 51: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-03-23","2027-03-23","2024-03-23","None","20/40","Mild hearing loss","Basic","Advanced","SLD;OHI","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456841","Grayson","Phillips","Z","student52@school.edu","555-0052","2008-04-24","F","11","Central High School","CHS","Central High School","151 Main St","Anytown","CA","90210","Parent52","555-0052","parent52@email.com","Isaac Murphy","248","Goal for student 52: Improve academic performance and social skills","Notes for student 52: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-04-24","2027-04-24","2024-04-24","Requires medication monitoring","20/20","Normal","Proficient","Early Intermediate","SLD","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456842","Brooklyn","Evans","A","student53@school.edu","555-0053","2008-05-25","M","8","Central High School","CHS","Central High School","152 Main St","Anytown","CA","90210","Parent53","555-0053","parent53@email.com","Isaac Murphy","267","Goal for student 53: Improve academic performance and social skills","Notes for student 53: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-05-25","2027-05-25","2024-05-25","None","20/20","Normal","Below Basic","Advanced","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456843","Isaac","Turner","B","student54@school.edu","555-0054","2008-06-26","F","9","Central High School","CHS","Central High School","153 Main St","Anytown","CA","90210","Parent54","555-0054","parent54@email.com","Nathan Morris","329","Goal for student 54: Improve academic performance and social skills","Notes for student 54: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-06-26","2027-06-26","2024-06-26","None","20/20","Normal","Basic","Beginning","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456844","Sofia","Diaz","C","student55@school.edu","555-0055","2008-07-27","M","10","Central High School","CHS","Central High School","154 Main St","Anytown","CA","90210","Parent55","555-0055","parent55@email.com","Aubrey Morales","96","Goal for student 55: Improve academic performance and social skills","Notes for student 55: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-07-27","2027-07-27","2024-07-27","Requires medication monitoring","20/20","Normal","Below Basic","Early Intermediate","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456845","Mason","Parker","D","student56@school.edu","555-0056","2008-08-28","F","11","Central High School","CHS","Central High School","155 Main St","Anytown","CA","90210","Parent56","555-0056","parent56@email.com","Nathan Morris","283","Goal for student 56: Improve academic performance and social skills","Notes for student 56: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-08-28","2027-08-28","2024-08-28","None","20/40","Normal","Below Basic","Intermediate","SLD","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456846","Zoe","Cruz","E","student57@school.edu","555-0057","2008-09-01","M","8","Central High School","CHS","Central High School","156 Main St","Anytown","CA","90210","Parent57","555-0057","parent57@email.com","Aubrey Morales","349","Goal for student 57: Improve academic performance and social skills","Notes for student 57: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-09-01","2027-09-01","2024-09-01","None","20/20","Normal","Below Basic","Early Advanced","SLD","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456847","Evan","Edwards","F","student58@school.edu","555-0058","2008-10-02","F","9","Central High School","CHS","Central High School","157 Main St","Anytown","CA","90210","Parent58","555-0058","parent58@email.com","Ellie Cook","139","Goal for student 58: Improve academic performance and social skills","Notes for student 58: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-10-02","2027-10-02","2024-10-02","Requires medication monitoring","20/20","Normal","Below Basic","Early Intermediate","SLD;OHI","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456848","Nora","Collins","G","student59@school.edu","555-0059","2008-11-03","M","10","Central High School","CHS","Central High School","158 Main St","Anytown","CA","90210","Parent59","555-0059","parent59@email.com","Nathan Morris","337","Goal for student 59: Improve academic performance and social skills","Notes for student 59: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-11-03","2027-11-03","2024-11-03","None","20/20","Normal","Below Basic","Advanced","SLD","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456849","Logan","Reyes","H","student60@school.edu","555-0060","2008-12-04","F","11","Central High School","CHS","Central High School","159 Main St","Anytown","CA","90210","Parent60","555-0060","parent60@email.com","Aubrey Morales","164","Goal for student 60: Improve academic performance and social skills","Notes for student 60: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-12-04","2027-12-04","2024-12-04","None","20/20","Normal","Proficient","Intermediate","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456850","Lily","Stewart","I","student61@school.edu","555-0061","2008-01-05","M","8","Central High School","CHS","Central High School","160 Main St","Anytown","CA","90210","Parent61","555-0061","parent61@email.com","Nathan Morris","60","Goal for student 61: Improve academic performance and social skills","Notes for student 61: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-01-05","2027-01-05","2024-01-05","Requires medication monitoring","20/40","Mild hearing loss","Basic","Intermediate","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456851","Nathan","Morris","J","student62@school.edu","555-0062","2008-02-06","F","9","Central High School","CHS","Central High School","161 Main St","Anytown","CA","90210","Parent62","555-0062","parent62@email.com","Nathan Morris","267","Goal for student 62: Improve academic performance and social skills","Notes for student 62: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-02-06","2027-02-06","2024-02-06","None","20/20","Normal","Basic","Advanced","SLD;OHI;AUT","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456852","Aubrey","Morales","K","student63@school.edu","555-0063","2008-03-07","M","10","Central High School","CHS","Central High School","162 Main St","Anytown","CA","90210","Parent63","555-0063","parent63@email.com","Lily Stewart","182","Goal for student 63: Improve academic performance and social skills","Notes for student 63: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-03-07","2027-03-07","2024-03-07","None","20/20","Normal","Proficient","Intermediate","SLD","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456853","Isaac","Murphy","L","student64@school.edu","555-0064","2008-04-08","F","11","Central High School","CHS","Central High School","163 Main St","Anytown","CA","90210","Parent64","555-0064","parent64@email.com","Ellie Cook","337","Goal for student 64: Improve academic performance and social skills","Notes for student 64: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-04-08","2027-04-08","2024-04-08","Requires medication monitoring","20/20","Normal","Proficient","Early Advanced","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456854","Ellie","Cook","M","student65@school.edu","555-0065","2008-05-09","M","8","Central High School","CHS","Central High School","164 Main St","Anytown","CA","90210","Parent65","555-0065","parent65@email.com","Lily Stewart","61","Goal for student 65: Improve academic performance and social skills","Notes for student 65: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-05-09","2027-05-09","2024-05-09","None","20/20","Normal","Proficient","Intermediate","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456855","Andrew","Rogers","N","student66@school.edu","555-0066","2008-06-10","F","9","Central High School","CHS","Central High School","165 Main St","Anytown","CA","90210","Parent66","555-0066","parent66@email.com","Ellie Cook","342","Goal for student 66: Improve academic performance and social skills","Notes for student 66: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-06-10","2027-06-10","2024-06-10","None","20/40","Normal","Proficient","Early Intermediate","SLD;OHI","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456856","Stella","Gutierrez","O","student67@school.edu","555-0067","2008-07-11","M","10","Central High School","CHS","Central High School","166 Main St","Anytown","CA","90210","Parent67","555-0067","parent67@email.com","Nathan Morris","176","Goal for student 67: Improve academic performance and social skills","Notes for student 67: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-07-11","2027-07-11","2024-07-11","Requires medication monitoring","20/20","Normal","Below Basic","Early Intermediate","SLD","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456857","Joshua","Ortiz","P","student68@school.edu","555-0068","2008-08-12","F","11","Central High School","CHS","Central High School","167 Main St","Anytown","CA","90210","Parent68","555-0068","parent68@email.com","Aubrey Morales","143","Goal for student 68: Improve academic performance and social skills","Notes for student 68: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-08-12","2027-08-12","2024-08-12","None","20/20","Normal","Proficient","Beginning","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456858","Natalie","Morgan","Q","student69@school.edu","555-0069","2008-09-13","M","8","Central High School","CHS","Central High School","168 Main St","Anytown","CA","90210","Parent69","555-0069","parent69@email.com","Aubrey Morales","78","Goal for student 69: Improve academic performance and social skills","Notes for student 69: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-09-13","2027-09-13","2024-09-13","None","20/20","Normal","Proficient","Early Advanced","SLD;OHI","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456859","Christopher","Cooper","R","student70@school.edu","555-0070","2008-10-14","F","9","Central High School","CHS","Central High School","169 Main St","Anytown","CA","90210","Parent70","555-0070","parent70@email.com","Aubrey Morales","177","Goal for student 70: Improve academic performance and social skills","Notes for student 70: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-10-14","2027-10-14","2024-10-14","Requires medication monitoring","20/20","Normal","Advanced","Beginning","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456860","Addison","Peterson","S","student71@school.edu","555-0071","2008-11-15","M","10","Central High School","CHS","Central High School","170 Main St","Anytown","CA","90210","Parent71","555-0071","parent71@email.com","Ellie Cook","107","Goal for student 71: Improve academic performance and social skills","Notes for student 71: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-11-15","2027-11-15","2024-11-15","None","20/40","Mild hearing loss","Basic","Early Advanced","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456861","Ryan","Bailey","T","student72@school.edu","555-0072","2008-12-16","F","11","Central High School","CHS","Central High School","171 Main St","Anytown","CA","90210","Parent72","555-0072","parent72@email.com","Ellie Cook","229","Goal for student 72: Improve academic performance and social skills","Notes for student 72: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-12-16","2027-12-16","2024-12-16","None","20/20","Normal","Advanced","Early Intermediate","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456862","Savannah","Reed","U","student73@school.edu","555-0073","2008-01-17","M","8","Central High School","CHS","Central High School","172 Main St","Anytown","CA","90210","Parent73","555-0073","parent73@email.com","Aubrey Morales","147","Goal for student 73: Improve academic performance and social skills","Notes for student 73: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-01-17","2027-01-17","2024-01-17","Requires medication monitoring","20/20","Normal","Below Basic","Beginning","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456863","Adrian","Kelly","V","student74@school.edu","555-0074","2008-02-18","F","9","Central High School","CHS","Central High School","173 Main St","Anytown","CA","90210","Parent74","555-0074","parent74@email.com","Ellie Cook","225","Goal for student 74: Improve academic performance and social skills","Notes for student 74: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-02-18","2027-02-18","2024-02-18","None","20/20","Normal","Below Basic","Early Intermediate","SLD","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456864","Avery","Howard","W","student75@school.edu","555-0075","2008-03-19","M","10","Central High School","CHS","Central High School","174 Main St","Anytown","CA","90210","Parent75","555-0075","parent75@email.com","Nathan Morris","310","Goal for student 75: Improve academic performance and social skills","Notes for student 75: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-03-19","2027-03-19","2024-03-19","None","20/20","Normal","Proficient","Beginning","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456865","Miles","Ramos","X","student76@school.edu","555-0076","2008-04-20","F","11","Central High School","CHS","Central High School","175 Main St","Anytown","CA","90210","Parent76","555-0076","parent76@email.com","Isaac Murphy","221","Goal for student 76: Improve academic performance and social skills","Notes for student 76: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-04-20","2027-04-20","2024-04-20","Requires medication monitoring","20/40","Normal","Below Basic","Early Advanced","SLD","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456866","Brooklyn","Kim","Y","student77@school.edu","555-0077","2008-05-21","M","8","Central High School","CHS","Central High School","176 Main St","Anytown","CA","90210","Parent77","555-0077","parent77@email.com","Aubrey Morales","196","Goal for student 77: Improve academic performance and social skills","Notes for student 77: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-05-21","2027-05-21","2024-05-21","None","20/20","Normal","Basic","Intermediate","SLD;OHI;AUT","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456867","Leo","Cox","Z","student78@school.edu","555-0078","2008-06-22","F","9","Central High School","CHS","Central High School","177 Main St","Anytown","CA","90210","Parent78","555-0078","parent78@email.com","Isaac Murphy","323","Goal for student 78: Improve academic performance and social skills","Notes for student 78: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-06-22","2027-06-22","2024-06-22","None","20/20","Normal","Proficient","Early Advanced","SLD;OHI;AUT","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456868","Aria","Ward","A","student79@school.edu","555-0079","2008-07-23","M","10","Central High School","CHS","Central High School","178 Main St","Anytown","CA","90210","Parent79","555-0079","parent79@email.com","Isaac Murphy","262","Goal for student 79: Improve academic performance and social skills","Notes for student 79: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-07-23","2027-07-23","2024-07-23","Requires medication monitoring","20/20","Normal","Advanced","Early Advanced","SLD;OHI","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456869","Landon","Richardson","B","student80@school.edu","555-0080","2008-08-24","F","11","Central High School","CHS","Central High School","179 Main St","Anytown","CA","90210","Parent80","555-0080","parent80@email.com","Nathan Morris","312","Goal for student 80: Improve academic performance and social skills","Notes for student 80: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-08-24","2027-08-24","2024-08-24","None","20/20","Normal","Proficient","Advanced","SLD;OHI","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456870","Emma","Smith","C","student81@school.edu","555-0081","2008-09-25","M","8","Central High School","CHS","Central High School","180 Main St","Anytown","CA","90210","Parent81","555-0081","parent81@email.com","Isaac Murphy","304","Goal for student 81: Improve academic performance and social skills","Notes for student 81: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-09-25","2027-09-25","2024-09-25","None","20/40","Mild hearing loss","Basic","Early Intermediate","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456871","Liam","Johnson","D","student82@school.edu","555-0082","2008-10-26","F","9","Central High School","CHS","Central High School","181 Main St","Anytown","CA","90210","Parent82","555-0082","parent82@email.com","Lily Stewart","83","Goal for student 82: Improve academic performance and social skills","Notes for student 82: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-10-26","2027-10-26","2024-10-26","Requires medication monitoring","20/20","Normal","Basic","Early Intermediate","SLD","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456872","Olivia","Williams","E","student83@school.edu","555-0083","2008-11-27","M","10","Central High School","CHS","Central High School","182 Main St","Anytown","CA","90210","Parent83","555-0083","parent83@email.com","Ellie Cook","311","Goal for student 83: Improve academic performance and social skills","Notes for student 83: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-11-27","2027-11-27","2024-11-27","None","20/20","Normal","Basic","Early Advanced","SLD","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456873","Noah","Brown","F","student84@school.edu","555-0084","2008-12-28","F","11","Central High School","CHS","Central High School","183 Main St","Anytown","CA","90210","Parent84","555-0084","parent84@email.com","Aubrey Morales","132","Goal for student 84: Improve academic performance and social skills","Notes for student 84: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-12-28","2027-12-28","2024-12-28","None","20/20","Normal","Proficient","Beginning","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456874","Ava","Jones","G","student85@school.edu","555-0085","2008-01-01","M","8","Central High School","CHS","Central High School","184 Main St","Anytown","CA","90210","Parent85","555-0085","parent85@email.com","Isaac Murphy","259","Goal for student 85: Improve academic performance and social skills","Notes for student 85: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-01-01","2027-01-01","2024-01-01","Requires medication monitoring","20/20","Normal","Basic","Beginning","SLD;OHI","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456875","Ethan","Garcia","H","student86@school.edu","555-0086","2008-02-02","F","9","Central High School","CHS","Central High School","185 Main St","Anytown","CA","90210","Parent86","555-0086","parent86@email.com","Aubrey Morales","69","Goal for student 86: Improve academic performance and social skills","Notes for student 86: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-02-02","2027-02-02","2024-02-02","None","20/40","Normal","Basic","Beginning","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456876","Isabella","Miller","I","student87@school.edu","555-0087","2008-03-03","M","10","Central High School","CHS","Central High School","186 Main St","Anytown","CA","90210","Parent87","555-0087","parent87@email.com","Nathan Morris","352","Goal for student 87: Improve academic performance and social skills","Notes for student 87: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-03-03","2027-03-03","2024-03-03","None","20/20","Normal","Basic","Early Intermediate","SLD;OHI","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456877","Lucas","Davis","J","student88@school.edu","555-0088","2008-04-04","F","11","Central High School","CHS","Central High School","187 Main St","Anytown","CA","90210","Parent88","555-0088","parent88@email.com","Isaac Murphy","63","Goal for student 88: Improve academic performance and social skills","Notes for student 88: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-04-04","2027-04-04","2024-04-04","Requires medication monitoring","20/20","Normal","Proficient","Advanced","SLD;OHI;AUT","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456878","Sophia","Rodriguez","K","student89@school.edu","555-0089","2008-05-05","M","8","Central High School","CHS","Central High School","188 Main St","Anytown","CA","90210","Parent89","555-0089","parent89@email.com","Isaac Murphy","131","Goal for student 89: Improve academic performance and social skills","Notes for student 89: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-05-05","2027-05-05","2024-05-05","None","20/20","Normal","Advanced","Early Advanced","SLD","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456879","Mason","Martinez","L","student90@school.edu","555-0090","2008-06-06","F","9","Central High School","CHS","Central High School","189 Main St","Anytown","CA","90210","Parent90","555-0090","parent90@email.com","Lily Stewart","159","Goal for student 90: Improve academic performance and social skills","Notes for student 90: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-06-06","2027-06-06","2024-06-06","None","20/20","Normal","Advanced","Early Intermediate","SLD;OHI","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456880","Mia","Hernandez","M","student91@school.edu","555-0091","2008-07-07","M","10","Central High School","CHS","Central High School","190 Main St","Anytown","CA","90210","Parent91","555-0091","parent91@email.com","Aubrey Morales","94","Goal for student 91: Improve academic performance and social skills","Notes for student 91: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-07-07","2027-07-07","2024-07-07","Requires medication monitoring","20/40","Mild hearing loss","Basic","Advanced","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456881","Oliver","Lopez","N","student92@school.edu","555-0092","2008-08-08","F","11","Central High School","CHS","Central High School","191 Main St","Anytown","CA","90210","Parent92","555-0092","parent92@email.com","Aubrey Morales","280","Goal for student 92: Improve academic performance and social skills","Notes for student 92: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-08-08","2027-08-08","2024-08-08","None","20/20","Normal","Basic","Early Intermediate","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456882","Charlotte","Gonzalez","O","student93@school.edu","555-0093","2008-09-09","M","8","Central High School","CHS","Central High School","192 Main St","Anytown","CA","90210","Parent93","555-0093","parent93@email.com","Aubrey Morales","347","Goal for student 93: Improve academic performance and social skills","Notes for student 93: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-09-09","2027-09-09","2024-09-09","None","20/20","Normal","Basic","Beginning","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
