SSID,LastName,FirstName,MiddleName,Grade,DOB,Gender,Ethnicity,School,Address,City,State,ZipCode,Phone,ParentName,ParentPhone,ParentEmail,ELL,504,IEP,CaseManager,Disability,ServiceMinutes,Goals,Notes,Plan,ReviewDate,ReevalDate,MeetingDate,SpeechProvider,MHProvider,OTProvider,InstructionAccommodations,AssessmentAccommodations,Flag1,Flag2,Period1Subject,Period1TeacherId,Period1Room,Period2Subject,Period2TeacherId,Period2Room,Period3Subject,Period3TeacherId,Period3Room,Period4Subject,Period4TeacherId,Period4Room,Period5Subject,Period5TeacherId,Period5Room,Period6Subject,Period6TeacherId,Period6Room,Period7Subject,Period7TeacherId,Period7Room
"123456847","Martinez","Claire","Mateo","11","2006-02-05","Male","Hispanic","Central High School","2404 Maple Street","Springfield","CA","90210","555-0193","Charlotte Martinez","555-7959","claire.martinez@email.com","No","No","No","Johnson","","94","Improve academic skills and social development","","Special Education","2024-04-02","2025-07-19","2024-01-23","","","","No accommodations needed","No accommodations needed","false","false","Creative Writing","100054","157","Music","100065","102","Economics","100071","107","Physics","100056","190","French","100074","230","English","100066","175","Computer Science","100035","144"
"123456848","Thomas","Penelope","Avery","9","2009-10-14","Male","Asian","Central High School","5012 Maple Drive","Springfield","CA","90210","555-2142","Natalie Thomas","555-4423","penelope.thomas@email.com","No","No","Yes","Williams","Speech Impairment","64","Improve academic skills and social development","","General Education","2024-09-02","2025-09-07","2024-07-27","","","","No accommodations needed","Extended time; Separate setting","false","false","US History","100049","135","Government","100039","205","Creative Writing","100049","146","Literature","100058","186","Chemistry","100043","152","Band","100048","119","US History","100051","132"
"123456849","Young","Claire","Daniel","11","2006-11-03","Male","Black","Central High School","1802 Elm Drive","Springfield","CA","90210","555-9740","Nora Young","555-7759","claire.young@email.com","No","No","No","Johnson","","","","","General Education","2024-09-20","2025-02-28","2024-04-13","","Dr. Brown","","Extended time; Preferential seating","No accommodations needed","true","false","Calculus","100035","110","Math","100047","179","French","100064","142","PE","100042","224","Government","100041","260","History","100046","220","Geometry","100075","235"
"123456850","Lee","Jaxon","Savannah","12","2005-02-28","Male","Other","Central High School","1820 Maple Lane","Springfield","CA","90210","555-1069","Penelope Lee","555-1798","jaxon.lee@email.com","No","No","No","Williams","","","","","Special Education","2024-04-04","2025-08-09","2024-01-18","Dr. Wilson","","","No accommodations needed","Extended time; Separate setting","false","true","Calculus","100040","260","French","100075","267","History","100067","204","Band","100042","244","Journalism","100039","258","German","100044","219","Art","100054","200"
"123456851","Jackson","Zoe","Owen","12","2006-07-16","Female","Hispanic","Central High School","1362 Oak Lane","Springfield","CA","90210","555-6992","Hunter Jackson","555-1586","zoe.jackson@email.com","Yes","No","No","","","","","","Special Education","2024-04-08","2025-02-28","2024-03-13","","","","No accommodations needed","No accommodations needed","false","false","PE","100064","260","French","100062","274","Choir","100054","130","Psychology","100033","150","French","100075","227","Science","100038","155","Algebra","100052","272"
"123456852","Adams","Benjamin","Gabriel","9","2008-01-23","Female","Other","Central High School","5059 Pine Avenue","Springfield","CA","90210","555-4474","Victoria Adams","555-2270","benjamin.adams@email.com","No","No","Yes","","","74","","","General Education","2024-12-24","2025-02-19","2024-04-10","","","","No accommodations needed","No accommodations needed","false","false","US History","100034","286","German","100037","216","Music","100031","165","Drama","100031","102","Sociology","100066","238","Math","100031","267","Music","100044","157"
"123456853","Young","Anthony","Riley","9","2008-01-26","Male","Hispanic","Central High School","3262 Elm Lane","Springfield","CA","90210","555-3908","Grace Young","555-4417","anthony.young@email.com","No","No","No","Johnson","Autism Spectrum","","","","General Education","2024-02-09","2025-08-08","2024-01-28","Dr. Wilson","","","Extended time; Preferential seating","No accommodations needed","false","false","English","100034","257","Physics","100043","208","Computer Science","100056","292","German","100054","190","History","100074","171","Choir","100069","120","Math","100070","147"
"123456854","Adams","Ava","Stella","10","2007-06-05","Female","Hispanic","Central High School","4998 Maple Drive","Springfield","CA","90210","555-4844","Charlotte Adams","555-2337","ava.adams@email.com","Yes","No","No","","Autism Spectrum","","Improve academic skills and social development","","General Education","2024-02-20","2025-07-15","2024-04-22","","","","No accommodations needed","No accommodations needed","false","false","PE","100069","257","Science","100033","127","Biology","100032","109","Government","100045","204","World History","100071","273","Biology","100058","282","Band","100049","190"
"123456855","Wilson","Brooklyn","Madison","9","2008-02-06","Female","Black","Central High School","8703 Elm Lane","Springfield","CA","90210","555-0440","Luke Wilson","555-8801","brooklyn.wilson@email.com","No","No","No","Johnson","Learning Disability","","","","General Education","2024-11-09","2025-09-07","2024-05-28","Dr. Wilson","Dr. Brown","","No accommodations needed","No accommodations needed","false","false","Spanish","100046","247","Spanish","100049","207","Geometry","100040","124","Chemistry","100034","208","History","100058","294","Band","100035","226","Psychology","100040","143"
"123456856","Torres","James","Grayson","10","2008-10-06","Male","Hispanic","Central High School","517 Pine Drive","Springfield","CA","90210","555-9825","Grayson Torres","555-3940","james.torres@email.com","No","No","No","","","","","","General Education","2024-04-27","2025-08-26","2024-04-16","","Dr. Brown","","No accommodations needed","No accommodations needed","false","false","Calculus","100040","245","Drama","100055","206","Chemistry","100039","185","Music","100067","254","US History","100040","127","Spanish","100057","223","Band","100056","107"
"123456857","Johnson","Aurora","Aaron","9","2009-12-09","Female","Black","Central High School","2903 Elm Lane","Springfield","CA","90210","555-0286","John Johnson","555-8331","aurora.johnson@email.com","Yes","No","No","","ADHD","","","Student shows good progress with current interventions","General Education","2024-06-25","2025-02-12","2024-09-06","","","","No accommodations needed","No accommodations needed","false","false","History","100039","258","Algebra","100075","110","Science","100043","126","Band","100056","136","Biology","100033","147","Music","100059","283","PE","100059","235"
"123456858","Jackson","Natalie","Aubrey","9","2009-10-25","Female","Asian","Central High School","2256 Cedar Street","Springfield","CA","90210","555-3932","Madison Jackson","555-9414","natalie.jackson@email.com","No","Yes","No","","Autism Spectrum","101","","","Special Education","2024-12-17","2025-02-11","2024-12-12","","","","No accommodations needed","No accommodations needed","false","false","Government","100034","157","Drama","100072","185","Biology","100045","197","Chemistry","100031","118","Geometry","100041","163","Science","100051","217","US History","100059","184"
"123456859","Taylor","John","Oliver","10","2007-06-27","Male","Other","Central High School","4691 Oak Road","Springfield","CA","90210","555-1770","Michael Taylor","555-8652","john.taylor@email.com","No","No","Yes","Johnson","","","Improve academic skills and social development","","Special Education","2024-12-24","2025-08-25","2024-12-25","","","","No accommodations needed","No accommodations needed","false","false","Spanish","100071","100","Biology","100050","262","English","100067","296","Journalism","100072","101","Art","100051","289","Algebra","100051","209","Chemistry","100038","164"
"123456860","Ramirez","Elizabeth","Scarlett","10","2008-11-22","Male","Other","Central High School","2100 Oak Avenue","Springfield","CA","90210","555-8101","Lillian Ramirez","555-9521","elizabeth.ramirez@email.com","Yes","Yes","Yes","","","","Improve academic skills and social development","","General Education","2024-07-26","2025-11-26","2024-11-11","Dr. Wilson","","","No accommodations needed","No accommodations needed","true","false","Literature","100041","226","Band","100064","266","Calculus","100045","188","Sociology","100060","296","Creative Writing","100070","104","History","100038","292","PE","100043","119"
"123456861","Nguyen","Victoria","Isaiah","11","2007-06-22","Male","Other","Central High School","8701 Elm Avenue","Springfield","CA","90210","555-2759","Scarlett Nguyen","555-7964","victoria.nguyen@email.com","No","Yes","No","","Autism Spectrum","","","","Special Education","2024-04-02","2025-01-22","2024-02-24","Dr. Wilson","","","No accommodations needed","Extended time; Separate setting","false","true","Sociology","100063","262","Geometry","100059","166","Physics","100072","119","Music","100057","298","History","100041","271","Geometry","100051","252","French","100033","296"
"123456862","Brown","Scarlett","Mia","10","2008-10-03","Female","Other","Central High School","8420 Elm Lane","Springfield","CA","90210","555-9807","Grayson Brown","555-1224","scarlett.brown@email.com","No","No","No","","","","","","General Education","2024-06-22","2025-02-25","2024-07-12","","Dr. Brown","","No accommodations needed","Extended time; Separate setting","false","false","Journalism","100041","208","Literature","100070","299","History","100069","271","Psychology","100069","148","Chemistry","100034","124","French","100043","147","History","100073","164"
"123456863","Harris","Emma","Isaiah","9","2008-02-25","Male","Other","Central High School","8211 Pine Road","Springfield","CA","90210","555-0903","Leo Harris","555-0142","emma.harris@email.com","No","No","No","","","","","Student shows good progress with current interventions","Special Education","2024-02-02","2025-11-14","2024-04-09","","","","No accommodations needed","No accommodations needed","false","false","Music","100071","229","Psychology","100062","225","Geometry","100053","250","Sociology","100051","234","PE","100037","294","Drama","100044","290","Sociology","100038","192"
"123456864","Roberts","Liam","Carter","10","2007-10-05","Male","Black","Central High School","7978 Pine Drive","Springfield","CA","90210","555-9526","Lucas Roberts","555-1145","liam.roberts@email.com","No","Yes","No","","","207","Improve academic skills and social development","","General Education","2024-06-28","2025-06-25","2024-11-08","","Dr. Brown","","Extended time; Preferential seating","Extended time; Separate setting","false","true","Physics","100033","195","Economics","100051","234","Art","100055","126","History","100072","181","Band","100037","176","Chemistry","100071","141","PE","100054","179"
"123456865","Rivera","Mia","Mason","9","2009-02-03","Female","Hispanic","Central High School","7474 Pine Lane","Springfield","CA","90210","555-0402","Evelyn Rivera","555-6001","mia.rivera@email.com","Yes","No","No","","","","","","Special Education","2024-05-04","2025-10-22","2024-10-27","Dr. Wilson","","","No accommodations needed","No accommodations needed","false","true","History","100038","114","Algebra","100052","255","German","100038","221","German","100074","245","Band","100048","126","Choir","100056","127","Geometry","100041","148"
"123456866","Nelson","Carter","David","11","2006-02-02","Male","Other","Central High School","1485 Elm Avenue","Springfield","CA","90210","555-7016","Adrian Nelson","555-8934","carter.nelson@email.com","No","No","No","","Autism Spectrum","92","","Student shows good progress with current interventions","General Education","2024-06-18","2025-05-19","2024-02-23","","","","No accommodations needed","No accommodations needed","true","false","Creative Writing","100073","151","World History","100066","239","Sociology","100035","238","Choir","100067","210","Computer Science","100031","137","Sociology","100035","230","Music","100052","299"
"123456867","Hill","Oliver","Charles","10","2007-06-17","Male","Black","Central High School","6407 Elm Avenue","Springfield","CA","90210","555-4351","Ellie Hill","555-6555","oliver.hill@email.com","No","No","No","Johnson","","","","","General Education","2024-09-27","2025-11-01","2024-04-24","Dr. Wilson","","Ms. Davis","No accommodations needed","Extended time; Separate setting","true","false","Economics","100058","229","Journalism","100050","296","Computer Science","100035","121","German","100034","262","Literature","100039","100","Drama","100051","288","Economics","100042","165"
"123456868","Smith","Nora","Ellie","9","2008-03-02","Female","Black","Central High School","5157 Elm Avenue","Springfield","CA","90210","555-3174","Benjamin Smith","555-9662","nora.smith@email.com","No","No","No","","Autism Spectrum","","","","General Education","2024-09-11","2025-11-22","2024-07-15","Dr. Wilson","Dr. Brown","","No accommodations needed","No accommodations needed","false","false","PE","100043","275","Creative Writing","100061","159","Science","100042","137","Psychology","100073","113","Art","100061","139","Creative Writing","100038","216","Algebra","100038","119"
"123456869","Baker","Leo","Leo","12","2006-11-10","Male","Other","Central High School","7295 Elm Avenue","Springfield","CA","90210","555-0175","Scarlett Baker","555-7687","leo.baker@email.com","No","No","No","Brown","","","","","General Education","2024-12-19","2025-07-04","2024-04-15","","","Ms. Davis","No accommodations needed","Extended time; Separate setting","false","false","Economics","100053","179","Choir","100074","197","PE","100047","189","German","100050","248","Art","100074","146","Band","100045","179","French","100033","165"
"123456870","Taylor","Wyatt","Elijah","11","2007-12-15","Male","Other","Central High School","3067 Cedar Road","Springfield","CA","90210","555-7498","Chloe Taylor","555-1002","wyatt.taylor@email.com","No","No","No","Williams","","","Improve academic skills and social development","","General Education","2024-02-04","2025-11-26","2024-11-16","","","","No accommodations needed","No accommodations needed","false","false","Drama","100064","262","English","100064","198","Creative Writing","100032","162","Economics","100066","150","Physics","100071","184","Economics","100053","245","English","100069","115"
"123456871","Carter","Harper","Riley","10","2008-08-15","Male","Hispanic","Central High School","314 Cedar Road","Springfield","CA","90210","555-1236","Levi Carter","555-4999","harper.carter@email.com","Yes","No","No","","","91","","","General Education","2024-11-08","2025-07-07","2024-10-27","","","","No accommodations needed","No accommodations needed","false","false","World History","100045","192","Science","100070","176","Creative Writing","100058","105","Economics","100039","291","English","100049","191","Math","100056","181","English","100057","106"
"123456872","Lewis","Brooklyn","Levi","10","2007-10-20","Female","Black","Central High School","7408 Cedar Street","Springfield","CA","90210","555-4176","Elijah Lewis","555-7890","brooklyn.lewis@email.com","Yes","No","No","","","","","","General Education","2024-08-24","2025-08-14","2024-08-26","","","","No accommodations needed","Extended time; Separate setting","false","false","Government","100033","261","Psychology","100031","110","English","100058","166","Chemistry","100035","266","Sociology","100054","225","Creative Writing","100037","195","Economics","100062","256"
"123456873","Smith","Josiah","Grayson","10","2007-08-24","Female","Asian","Central High School","4781 Maple Avenue","Springfield","CA","90210","555-6371","Andrew Smith","555-3441","josiah.smith@email.com","No","No","Yes","Williams","Speech Impairment","","","","General Education","2024-08-03","2025-10-16","2024-12-20","","","Ms. Davis","No accommodations needed","No accommodations needed","false","false","Band","100070","177","Music","100069","120","Sociology","100055","165","Literature","100033","259","Science","100036","120","Math","100059","284","French","100031","166"
"123456874","Harris","Emma","Riley","9","2009-08-13","Male","Black","Central High School","1841 Elm Avenue","Springfield","CA","90210","555-9966","Adrian Harris","555-6726","emma.harris@email.com","No","No","No","","","","Improve academic skills and social development","","Special Education","2024-12-13","2025-07-19","2024-09-16","","","","No accommodations needed","No accommodations needed","false","false","Spanish","100047","134","Journalism","100043","298","Physics","100047","213","German","100034","230","Economics","100061","210","History","100043","246","Literature","100048","294"
"123456875","Martinez","Claire","Isaac","12","2006-06-15","Female","Asian","Central High School","453 Maple Drive","Springfield","CA","90210","555-9208","Emily Martinez","555-1154","claire.martinez@email.com","No","No","No","Brown","Learning Disability","181","","","General Education","2024-11-26","2025-12-07","2024-03-17","","","Ms. Davis","No accommodations needed","No accommodations needed","false","false","US History","100065","299","Drama","100038","140","Spanish","100055","114","German","100070","273","English","100045","280","Math","100035","197","Biology","100056","201"
"123456876","Young","Emily","Sophia","9","2008-12-22","Female","Asian","Central High School","9211 Oak Road","Springfield","CA","90210","555-3641","Carter Young","555-0245","emily.young@email.com","No","No","No","Johnson","","","","","Special Education","2024-06-16","2025-03-22","2024-11-04","","","","Extended time; Preferential seating","No accommodations needed","false","false","Band","100054","161","Sociology","100038","145","Math","100058","236","Art","100063","105","World History","100073","181","Music","100040","269","Math","100051","122"
"123456877","Ramirez","Caleb","Layla","10","2008-11-26","Female","Asian","Central High School","8088 Elm Road","Springfield","CA","90210","555-9727","Mateo Ramirez","555-8585","caleb.ramirez@email.com","No","No","Yes","","","97","","","General Education","2024-09-18","2025-05-02","2024-05-15","","","","Extended time; Preferential seating","No accommodations needed","false","false","World History","100052","255","German","100031","280","Physics","100063","210","Economics","100059","232","Algebra","100071","278","Computer Science","100058","273","Literature","100053","231"
"123456878","Lee","Natalie","Avery","11","2007-05-20","Male","Other","Central High School","1730 Oak Road","Springfield","CA","90210","555-2232","Natalie Lee","555-7395","natalie.lee@email.com","No","No","Yes","Brown","","178","Improve academic skills and social development","","Special Education","2024-10-23","2025-04-04","2024-06-20","","","Ms. Davis","Extended time; Preferential seating","No accommodations needed","false","false","Computer Science","100056","286","English","100058","177","Chemistry","100063","143","Chemistry","100039","192","Biology","100043","272","Psychology","100064","299","French","100061","169"
"123456879","Wilson","Hunter","Layla","11","2006-07-14","Male","Other","Central High School","9803 Oak Lane","Springfield","CA","90210","555-3113","Jayden Wilson","555-0716","hunter.wilson@email.com","No","No","No","Brown","","114","","","General Education","2024-09-17","2025-03-09","2024-04-22","","","Ms. Davis","Extended time; Preferential seating","No accommodations needed","false","false","French","100074","289","US History","100035","274","Journalism","100061","109","Math","100065","187","Creative Writing","100040","112","Spanish","100031","219","History","100073","242"
"123456880","Wilson","Zoe","Luna","9","2008-01-20","Male","Asian","Central High School","2406 Maple Road","Springfield","CA","90210","555-0164","Aubrey Wilson","555-3587","zoe.wilson@email.com","No","Yes","Yes","","","","","","Special Education","2024-10-04","2025-09-07","2024-05-20","","","","No accommodations needed","No accommodations needed","false","false","Spanish","100075","152","Sociology","100045","286","Sociology","100056","256","History","100035","208","Band","100049","248","Art","100048","186","Creative Writing","100054","130"
"123456881","Taylor","Charlotte","Joseph","12","2005-04-15","Male","Other","Central High School","6169 Maple Lane","Springfield","CA","90210","555-9905","Dylan Taylor","555-0379","charlotte.taylor@email.com","No","No","Yes","","","135","","","Special Education","2024-03-09","2025-11-07","2024-11-06","","","","Extended time; Preferential seating","Extended time; Separate setting","false","true","Literature","100039","222","Geometry","100066","276","Music","100036","228","Algebra","100070","120","World History","100043","178","World History","100047","167","Choir","100075","112"
"123456882","White","John","Evelyn","10","2008-04-12","Male","Black","Central High School","5451 Elm Road","Springfield","CA","90210","555-2895","Riley White","555-8842","john.white@email.com","Yes","No","No","","Autism Spectrum","","Improve academic skills and social development","","General Education","2024-12-18","2025-07-22","2024-04-08","","","Ms. Davis","Extended time; Preferential seating","Extended time; Separate setting","false","false","Drama","100033","199","Sociology","100037","182","US History","100042","120","Band","100043","298","Music","100070","289","History","100068","290","Calculus","100052","231"
"123456883","Thompson","Owen","Grayson","9","2008-08-19","Female","Hispanic","Central High School","3040 Pine Lane","Springfield","CA","90210","555-4266","Audrey Thompson","555-5874","owen.thompson@email.com","No","No","No","","Emotional Disturbance","","","","Special Education","2024-10-15","2025-07-02","2024-11-05","","","","Extended time; Preferential seating","No accommodations needed","true","false","Physics","100050","133","Geometry","100067","160","US History","100065","260","Spanish","100045","133","PE","100075","192","Sociology","100057","143","Spanish","100054","291"
"123456884","Nguyen","Caleb","Zoe","11","2007-12-19","Female","Hispanic","Central High School","2927 Oak Avenue","Springfield","CA","90210","555-3097","Samuel Nguyen","555-8476","caleb.nguyen@email.com","No","No","No","Johnson","ADHD","","","","General Education","2024-01-17","2025-12-20","2024-05-28","Dr. Wilson","","","No accommodations needed","No accommodations needed","false","false","Journalism","100046","250","Geometry","100031","262","Literature","100048","128","History","100059","292","Geometry","100037","276","Music","100072","275","US History","100074","170"
"123456885","Harris","Emma","Wyatt","12","2005-08-14","Female","Black","Central High School","8152 Elm Avenue","Springfield","CA","90210","555-2682","Audrey Harris","555-9462","emma.harris@email.com","No","No","No","","","","","","Special Education","2024-11-09","2025-12-28","2024-02-15","","Dr. Brown","Ms. Davis","No accommodations needed","Extended time; Separate setting","false","false","Journalism","100054","203","Psychology","100052","232","Sociology","100060","224","Band","100059","196","Calculus","100061","232","Art","100058","257","Science","100047","238"
"123456886","Gonzalez","Victoria","Mateo","10","2007-04-12","Male","Asian","Central High School","7493 Pine Avenue","Springfield","CA","90210","555-6591","Jackson Gonzalez","555-6531","victoria.gonzalez@email.com","No","No","No","Williams","","","","","General Education","2024-05-04","2025-11-02","2024-10-28","Dr. Wilson","","","No accommodations needed","No accommodations needed","false","false","Science","100057","159","Physics","100040","284","French","100046","297","Geometry","100031","110","Drama","100044","139","Creative Writing","100052","299","Geometry","100059","273"
"123456887","White","Brooklyn","Sebastian","9","2009-05-27","Male","White","Central High School","4574 Pine Drive","Springfield","CA","90210","555-9667","Lucas White","555-5412","brooklyn.white@email.com","Yes","No","Yes","","","","Improve academic skills and social development","Student shows good progress with current interventions","Special Education","2024-07-15","2025-09-05","2024-12-03","","","","Extended time; Preferential seating","No accommodations needed","false","false","Drama","100048","158","Chemistry","100041","276","History","100038","110","Physics","100072","220","Art","100058","273","Journalism","100054","116","Choir","100069","295"
"123456888","Wilson","Avery","Evelyn","9","2009-10-16","Male","Other","Central High School","7954 Maple Drive","Springfield","CA","90210","555-5156","Mateo Wilson","555-8592","avery.wilson@email.com","No","No","No","Brown","","","Improve academic skills and social development","","General Education","2024-10-12","2025-06-09","2024-02-26","","","Ms. Davis","Extended time; Preferential seating","Extended time; Separate setting","false","false","History","100037","126","Art","100043","130","Algebra","100061","258","Chemistry","100064","252","Computer Science","100043","171","Drama","100069","292","Biology","100048","181"
